SentenceID,Sentence
1,Never!
2,No shrubberies!
3, Ni!
4, [cough]
5, Nu!
6," No, no, no, no, i--"
7, Nu!
8," No, it's not that. It's 'ni'."
9, Nu!
10," No, no. 'Ni'."
11,You're not doing it properly.
12,No.
13, Ni!
14, Ni!
15, That's it.
16,That's it.
17,You've got it.
18, Ni!
19, Ohh!
20, Ni!
21, Ni!
22, Agh!
23, Ni!
24, Ni!
25, Ni!
26, Ni!
27, Ni!
28, Are you saying 'ni' to that old woman?
29," Erm,... yes."
30," Oh, what sad times are these when passing ruffians can say 'ni' at will to old ladies."
31,There is a pestilence upon this land.
32,Nothing is sacred.
33,Even those who arrange and design shrubberies are under considerable economic stress at this period in history.
34, Did you say 'shrubberies'?
35, Yes.
36,Shrubberies are my trade.
37,I am a shrubber.
38,My name is 'Roger the Shrubber'.
39,"I arrange, design, and sell shrubberies."
40, Ni!
41, No!
42,"No, no, no!"
43,No!
44, Shrubbery or Herring? That is the Question
45," O Knights of Ni, we have brought you your shrubbery."
46,May we go now?
47, It is a good shrubbery.
48,"I like the laurels particularly,... but there is one small problem."
49, What is that?
50, We are now... no longer the Knights Who Say 'Ni'.
51, Ni!
52,Shh!
53, Shh!
54,We are now the Knights Who Say 'Ecky-ecky-ecky-ecky-pikang-zoop-boing-goodem-zu-owly-zhiv'.
55, Ni!
56," Therefore, we must give you a test."
57," What is this test, O Knights of-- knights who till recently said 'ni'?"
58," Firstly, you must find... another shrubbery! [dramatic chord]"
59, Not another shrubbery!
60, Ni!
61," Then, when you have found the shrubbery, you must place it here beside this shrubbery, only slightly higher so you get the two-level effect with a little path running down the middle."
62, A path!
63,A path!
64,A path!
65,Ni!
66,Shh!
67,Knights of Ni!
68,Ni!
69,Ni!
70,"Shh, Shh!..."
71," Then, when you have found the shrubbery, you must cut down the mightiest tree in the forest... with... a herring! [dramatic chord]"
72, A herring!
73, We shall do no such thing!
74," Oh, please!"
75, Cut down a tree with a herring?
76,It can't be done.
77, Aaaaugh!
78,Aaaugh!
79, Augh!
80,Ohh!
81,Don't say that word.
82, What word?
83, I cannot tell.
84,Suffice to say is one of the words the Knights of Ni cannot hear.
85, How can we not say the word if you don't tell us what it is?
86, Aaaaugh!
87, You said it again!
88," What, 'is'?"
89, Agh!
90,"No, not 'is'."
91," No, not 'is'."
92,You wouldn't get vary far in life not saying 'is'.
93," No, not 'is'."
94,Not 'is'.
95," My liege, it's Sir Robin!"
96, [singing] He is packing it in and packing it up
97,And sneaking away and buggering up
98,"And chickening out and pissing off home,"
99,"Yes, bravely he is throwing in the sponge."
100, Sir Robin!
101, My liege!
102,It's good to see you.
103, Now he's said the word!
104, Surely you've not given up your quest for the Holy Grail?
105, [singing] He is sneaking away and buggering up--
106, Shut up!
107,"No, no. No."
108,Far from it.
109, He said the word again!
110, Aaaaugh!
111, I was looking for it.
112, Aaaaugh!
113," Uh, here-- here in this forest."
114," No, it is far from this place."
115, Aaaaugh!
116, Aaaaugh!
117,Stop saying the word!
118,The word...
119," Oh, stop it!"
120, ...we cannot hear!
121,Ow!
122,He said it again!
123, Patsy!
124, Wait!
125,I said it!
126,I said it! [clop clop clop]
127,Ooh!
128,I said it again!
129,And there again!
130,That's three 'it's!
131,Ohh!
132, Aaaaugh!...
133," And so, Arthur and Bedevere and Sir Robin set out on their search to find the enchanter of whom the old man had spoken in scene twenty-four."
134,"Beyond the forest, they met Lancelot and Galahad, and there was much rejoicing."
135, Yay! Yay! [whoosh]
136," In the frozen land of Nador, they were forced to eat Robin's minstrels."
137, [high-pitched] Get back!
138,Eee!
139, And there was much rejoicing.
140, Yay!
141, A year passed.
142, [shivering]
143, Winter changed into Spring.
144," Mmm, nice."
145, Spring changed into Summer.
146, Oh. Ahh.
147," Summer changed back into Winter,..."
148, Oh?
149, ...and Winter gave Spring and Summer a miss and went straight on into Autumn.
150, Aah. [snap]
151,Oh! Waa!
152, Until one day...
153, Tim the Enchanter Warns of Rabbit Peril [King Arthur music]
154," Eh, oh."
155,See it?
156,"Oh, oh."
157, Knights!
158,Forward!
159,What manner of man are you that can summon up fire without flint or tinder?
160, I... am an enchanter.
161, By what name are you known?
162, There are some who call me... 'Tim'?
163," Greetings, Tim the Enchanter."
164," Greetings, King Arthur!"
165, You know my name?
166, I do. [zoosh]
167,You seek the Holy Grail!
168, That is our quest.
169,"You know much that is hidden, O Tim."
170, Quite. [pweeng boom]
171, Oh.
172," Yes, we're-- we're looking for the Holy Grail."
173,Our quest is to find the Holy Grail.
174," Yeah, yes."
175,"It is, it is."
176,"Yeah, yup, yup."
177,"Hm, mm."
178," And so, we're-- we're-- we're looking for it."
179," Yes, we are."
180, Yeah.
181, We are.
182,We are.
183, We have been for some time.
184, Ages.
185, Umhm.
186," Uh-- uh, so, uh, anything that you could do to, uh-- to help... would be... very... helpful."
