SentenceID,Sentence,SentimentID
1, The Trouble With Swallows,0
2, Whoa there!,3
3, Halt! Who goes there?,3
4," It is I, Arthur, son of Uther Pendragon, from the castle of Camelot. King of the Britons, defeater of the Saxons, Sovereign of all England!",3
5, Pull the other one!,3
6," I am, and this is my trusty servant Patsy.",3
7,We have ridden the length and breadth of the land in search of knights who will join me in my court at Camelot.,3
8,I must speak with your lord and master.,3
9, What?,3
10,Ridden on a horse?,2
11, Yes!,4
12, You're using coconuts!,3
13, What?,3
14, You've got two empty halves of a coconut and you're bangin' 'em together.,3
15, So?,3
16,"We have ridden since the snows of winter covered this land, through the kingdom of Mercia, through--",3
17, Where'd you get the coconuts?,3
18, We found them.,3
19, Found them?,2
20,In Mercia?,2
21,The coconut's tropical!,3
22, What do you mean?,3
23," Well, this is a temperate zone.",3
24," The swallow may fly south with the sun or the house martin or the plover may seek warmer climes in winter, yet these are not strangers to our land?",3
25, Are you suggesting coconuts migrate?,2
26,Not at all.,1
27,They could be carried.,3
28, What?,3
29,A swallow carrying a coconut?,2
30, It could grip it by the husk,3
31, It's not a question of where he grips it!,5
32,It's a simple question of weight ratios!,3
33,A five ounce bird could not carry a one pound coconut.,1
34," Well, it doesn't matter.",1
35,Will you go and tell your master that Arthur from the Court of Camelot is here?,3
36, Listen.,3
37,"In order to maintain air-speed velocity, a swallow needs to beat its wings forty-three times every second, right?",3
38, Please!,3
39, Am I right?,3
40, I'm not interested!,1
41, It could be carried by an African swallow!,4
42," Oh, yeah, an African swallow maybe, but not a European swallow.",1
43,That's my point.,3
44," Oh, yeah, I agree with that.",4
45, Will you ask your master if he wants to join my court at Camelot?!,3
46," But then of course, uh, African swallows are non-migratory.",1
47," Oh, yeah.",3
48," So, they couldn't bring a coconut back anyway.",1
49, Wait a minute!,4
50,Supposing two swallows carried it together?,3
51," No, they'd have to have it on a line.",1
52," Well, simple! They'd just use a strand of creeper!",4
53," What, held under the dorsal guiding feathers?",2
54," Well, why not?",3
55, Just Die Already,0
56, Bring out your dead!,3
57,Bring out your dead!,3
58,Bring out your dead!,3
59,Bring out your dead!,3
60,Bring out your dead!,3
61,Bring out your dead!,3
62,Bring out your dead!,3
63,Bring out your dead! Nine pence.,3
64,Bring out your dead!,3
65,Bring out your dead!,3
66,Bring out your dead!,3
67, Here's one.,3
68, Nine pence.,3
69, I'm not dead!,4
70, What?,3
71, Nothing. Here's your nine pence.,1
72, I'm not dead!,4
73, 'Ere.,3
74,He says he's not dead!,3
75," Yes, he is.",4
76, I'm not!,1
77, He isn't?,1
78," Well, he will be soon.",4
79,He's very ill.,1
80, I'm getting better!,4
81," No, you're not.",1
82,You'll be stone dead in a moment.,1
83," Oh, I can't take him like that.",1
84,It's against regulations.,1
85, I don't want to go on the cart!,1
86," Oh, don't be such a baby.",1
87, I can't take him.,1
88, I feel fine!,4
89," Well, do us a favor.",4
90, I can't.,1
91," Well, can you hang around a couple of minutes?",3
92,He won't be long.,3
93," No, I've got to go to the Robinsons'.",1
94,They've lost nine today.,1
95," Well, when's your next round?",3
96, Thursday.,3
97, I think I'll go for a walk.,4
98," You're not fooling anyone, you know.",1
99,"Look, isn't there something you can do?",3
100, [singing] I feel happy.,4
101,I feel happy.,4
102," Ah, thanks very much.",4
103, Not at all.,3
104,See you on Thursday.,3
105," Right, all right.",4
106,"Who's that, then?",3
107, I dunno.,3
108,Must be a king.,3
109, Why?,3
110, He hasn't got shit all over him.,1
111, Repression is Nine Tenths of the Law?,0
112, Old woman!,3
113, Man!,3
114, Man.,3
115,"Sorry, what knight lives in that castle over there?",3
116, I'm thirty-seven.,3
117, I-- what?,3
118, I'm thirty-seven.,3
119,I'm not old.,3
120," Well, I can't just call you 'Man'.",1
121," Well, you could say 'Dennis'.",3
122," Well, I didn't know you were called 'Dennis'.",1
123," Well, you didn't bother to find out, did you?",1
124," I did say 'sorry' about the 'old woman', but from the behind you looked--",1
125, What I object to is that you automatically treat me like an inferior!,1
126," Well, I am King!",3
127," Oh, King, eh, very nice.",2
128,"And how d'you get that, eh?",2
129,By exploiting the workers?,2
130,By 'anging on to outdated imperialist dogma which perpetuates the economic and social differences in our society?,2
131,If there's ever going to be any progress with the--,3
132," Dennis, there's some lovely filth down here.",4
133,Oh! How d'you do?,4
134," How do you do, good lady?",4
135,"I am Arthur, King of the Britons.",3
136,Who's castle is that?,3
137, King of the who?,3
138, The Britons.,3
139, Who are the Britons?,3
140," Well, we all are.",3
141,"We are all Britons, and I am your king.",3
142, I didn't know we had a king.,1
143,I thought we were an autonomous collective.,3
144, You're fooling yourself.,1
145,"We're living in a dictatorship, a self-perpetuating autocracy in which the working classes--",1
146," Oh, there you go bringing class into it again.",1
147, That's what it's all about.,3
148,If only people would hear of--,1
149," Please! Please, good people.",1
150,I am in haste.,1
151,Who lives in that castle?,3
152, No one lives there.,3
153, Then who is your lord?,3
154, We don't have a lord.,3
155, What?,3
156, I told you.,3
157,We're an anarcho-syndicalist commune.,3
158,"We take it in turns to act as a sort of executive officer for the week,...",3
159, Yes.,4
160, ...but all the decisions of that officer have to be ratified at a special bi-weekly meeting...,3
161," Yes, I see.",4
162," ...by a simple majority in the case of purely internal affairs,...",3
163, Be quiet!,1
164, ...but by a two-thirds majority in the case of more major--,3
