SentenceID,Sentence,SentimentID,
1,SCENE 1: The Trouble With Swallows,0,
2,ARTHUR: Whoa there!,4,
3,SOLDIER #1: Halt! Who goes there?,5,
4,"ARTHUR: It is I, Arthur, son of Uther Pendragon, from the castle of Camelot. King of the Britons, defeater of the Saxons, Sovereign of all England!",4,
5,SOLDIER #1: Pull the other one!,4,
6,"ARTHUR: I am, and this is my trusty servant Patsy.",4,
7,We have ridden the length and breadth of the land in search of knights who will join me in my court at Camelot.,4,
8,I must speak with your lord and master.,4,
9,SOLDIER #1: What?,5,
10,Ridden on a horse?,3,
11,ARTHUR: Yes!,6,
12,SOLDIER #1: You're using coconuts!,4,
13,ARTHUR: What?,5,
14,SOLDIER #1: You've got two empty halves of a coconut and you're bangin' 'em together.,4,
15,ARTHUR: So?,5,
16,"We have ridden since the snows of winter covered this land, through the kingdom of Mercia, through--",4,
17,SOLDIER #1: Where'd you get the coconuts?,5,
18,ARTHUR: We found them.,4,
19,SOLDIER #1: Found them?,3,
20,In Mercia?,3,
21,The coconut's tropical!,4,
22,ARTHUR: What do you mean?,5,
23,"SOLDIER #1: Well, this is a temperate zone.",4,
24,"ARTHUR: The swallow may fly south with the sun or the house martin or the plover may seek warmer climes in winter, yet these are not strangers to our land?",5,
25,SOLDIER #1: Are you suggesting coconuts migrate?,3,
26,ARTHUR: Not at all.,2,
27,They could be carried.,4,
28,SOLDIER #1: What?,5,
29,A swallow carrying a coconut?,3,
30,ARTHUR: It could grip it by the husk,4,
31,SOLDIER #1: It's not a question of where he grips it!,8,
32,It's a simple question of weight ratios!,4,
33,A five ounce bird could not carry a one pound coconut.,2,
34,"ARTHUR: Well, it doesn't matter.",2,
35,Will you go and tell your master that Arthur from the Court of Camelot is here?,5,
36,SOLDIER #1: Listen.,4,
37,"In order to maintain air-speed velocity, a swallow needs to beat its wings forty-three times every second, right?",5,
38,ARTHUR: Please!,4,
39,SOLDIER #1: Am I right?,5,
40,ARTHUR: I'm not interested!,2,
41,SOLDIER #2: It could be carried by an African swallow!,6,
42,"SOLDIER #1: Oh, yeah, an African swallow maybe, but not a European swallow.",2,
43,That's my point.,4,
44,"SOLDIER #2: Oh, yeah, I agree with that.",6,
45,ARTHUR: Will you ask your master if he wants to join my court at Camelot?!,5,
46,"SOLDIER #1: But then of course, uh, African swallows are non-migratory.",2,
47,"SOLDIER #2: Oh, yeah.",4,
