PhraseID,SentenceID,Sentence
0,0,"['[', ""'SCENE"", '1', ':', 'The', 'Trouble', 'With', 'Swallows', ""'"", ']']"
1,1,"['[', ""'"", '[', 'opening', 'music', ']', ""'"", ']']"
2,2,"['[', ""'"", '[', 'wind', ']', ""'"", ']']"
3,3,"['[', ""'"", '[', 'clop', 'clop', 'clop', ']', ""'"", ']']"
4,4,"['[', ""'ARTHUR"", ':', 'Whoa', 'there', '!', ""'"", ']']"
5,5,"['[', ""'"", '[', 'clop', 'clop', 'clop', ']', ""'"", ']']"
6,6,"['[', ""'SOLDIER"", '#', '1', ':', 'Halt', '!', ""'"", ',', ""'Who"", 'goes', 'there', '?', ""'"", ']']"
7,7,"['[', ""'ARTHUR"", ':', 'It', 'is', 'I', ',', 'Arthur', ',', 'son', 'of', 'Uther', 'Pendragon', ',', 'from', 'the', 'castle', 'of', 'Camelot', '.', ""'"", ',', ""'King"", 'of', 'the', 'Britons', ',', 'defeater', 'of', 'the', 'Saxons', ',', 'Sovereign', 'of', 'all', 'England', '!', ""'"", ']']"
8,8,"['[', ""'SOLDIER"", '#', '1', ':', 'Pull', 'the', 'other', 'one', '!', ""'"", ']']"
9,9,"['[', ""'ARTHUR"", ':', 'I', 'am', ',', 'and', 'this', 'is', 'my', 'trusty', 'servant', 'Patsy', '.', ""'"", ']']"
10,10,"['[', ""'We"", 'have', 'ridden', 'the', 'length', 'and', 'breadth', 'of', 'the', 'land', 'in', 'search', 'of', 'knights', 'who', 'will', 'join', 'me', 'in', 'my', 'court', 'at', 'Camelot', '.', ""'"", ']']"
11,11,"['[', ""'"", 'I', 'must', 'speak', 'with', 'your', 'lord', 'and', 'master', '.', ""'"", ']']"
12,12,"['[', ""'SOLDIER"", '#', '1', ':', 'What', '?', ""'"", ']']"
13,13,"['[', ""'Ridden"", 'on', 'a', 'horse', '?', ""'"", ']']"
14,14,"['[', ""'ARTHUR"", ':', 'Yes', '!', ""'"", ']']"
15,15,"['[', '``', 'SOLDIER', '#', '1', ':', 'You', ""'re"", 'using', 'coconuts', '!', ""''"", ']']"
16,16,"['[', ""'ARTHUR"", ':', 'What', '?', ""'"", ']']"
17,17,"['[', '``', 'SOLDIER', '#', '1', ':', 'You', ""'ve"", 'got', 'two', 'empty', 'halves', 'of', 'a', 'coconut', 'and', 'you', ""'re"", 'bangin', ""'"", ""'em"", 'together', '.', ""''"", ']']"
18,18,"['[', ""'ARTHUR"", ':', 'So', '?', ""'"", ']']"
19,19,"['[', ""'We"", 'have', 'ridden', 'since', 'the', 'snows', 'of', 'winter', 'covered', 'this', 'land', ',', 'through', 'the', 'kingdom', 'of', 'Mercia', ',', 'through', '--', ""'"", ']']"
20,20,"['[', '``', 'SOLDIER', '#', '1', ':', 'Where', ""'d"", 'you', 'get', 'the', 'coconuts', '?', ""''"", ']']"
21,21,"['[', ""'ARTHUR"", ':', 'We', 'found', 'them', '.', ""'"", ']']"
22,22,"['[', ""'SOLDIER"", '#', '1', ':', 'Found', 'them', '?', ""'"", ']']"
23,23,"['[', ""'In"", 'Mercia', '?', ""'"", ']']"
24,24,"['[', '``', 'The', 'coconut', ""'s"", 'tropical', '!', ""''"", ']']"
25,25,"['[', ""'ARTHUR"", ':', 'What', 'do', 'you', 'mean', '?', ""'"", ']']"
26,26,"['[', ""'SOLDIER"", '#', '1', ':', 'Well', ',', 'this', 'is', 'a', 'temperate', 'zone', '.', ""'"", ']']"
27,27,"['[', ""'ARTHUR"", ':', 'The', 'swallow', 'may', 'fly', 'south', 'with', 'the', 'sun', 'or', 'the', 'house', 'martin', 'or', 'the', 'plover', 'may', 'seek', 'warmer', 'climes', 'in', 'winter', ',', 'yet', 'these', 'are', 'not', 'strangers', 'to', 'our', 'land', '?', ""'"", ']']"
28,28,"['[', ""'SOLDIER"", '#', '1', ':', 'Are', 'you', 'suggesting', 'coconuts', 'migrate', '?', ""'"", ']']"
29,29,"['[', ""'Not"", 'at', 'all', '.', ""'"", ']']"
30,30,"['[', ""'They"", 'could', 'be', 'carried', '.', ""'"", ']']"
31,31,"['[', ""'SOLDIER"", '#', '1', ':', 'What', '?', ""'"", ']']"
32,32,"['[', ""'"", 'A', 'swallow', 'carrying', 'a', 'coconut', '?', ""'"", ']']"
33,33,"['[', ""'ARTHUR"", ':', 'It', 'could', 'grip', 'it', 'by', 'the', 'husk', ""'"", ']']"
34,34,"['[', '``', 'SOLDIER', '#', '1', ':', 'It', ""'s"", 'not', 'a', 'question', 'of', 'where', 'he', 'grips', 'it', '!', ""''"", ']']"
